country,year,age,sex,observations
AD,2005,0-14,f,0.0
AD,2005,0-14,m,0.0
AD,2005,0-4,f,0.0
AD,2005,0-4,m,0.0
AD,2005,15-24,f,1.0
AD,2005,15-24,m,0.0
AD,2005,25-34,f,1.0
AD,2005,25-34,m,1.0
AD,2005,35-44,f,1.0
AD,2005,35-44,m,1.0
AD,2005,45-54,f,0.0
AD,2005,45-54,m,0.0
AD,2005,5-14,f,0.0
AD,2005,5-14,m,0.0
AD,2005,55-64,f,0.0
AD,2005,55-64,m,0.0
AD,2005,65,f,0.0
AD,2005,65,m,0.0
AD,2006,0-14,f,0.0
AD,2006,0-14,m,0.0
AD,2006,0-4,f,0.0
AD,2006,0-4,m,0.0
AD,2006,15-24,f,0.0
AD,2006,15-24,m,1.0
AD,2006,25-34,f,1.0
AD,2006,25-34,m,1.0
AD,2006,35-44,f,0.0
AD,2006,35-44,m,2.0
AD,2006,45-54,f,1.0
AD,2006,45-54,m,0.0
AD,2006,5-14,f,0.0
AD,2006,5-14,m,0.0
AD,2006,55-64,f,0.0
AD,2006,55-64,m,1.0
AD,2006,65,f,0.0
AD,2006,65,m,1.0
AD,2008,0-14,f,0.0
AD,2008,0-14,m,0.0
AD,2008,0-4,f,0.0
AD,2008,0-4,m,0.0
AD,2008,15-24,f,0.0
AD,2008,15-24,m,0.0
AD,2008,25-34,f,0.0
AD,2008,25-34,m,0.0
AD,2008,35-44,f,1.0
AD,2008,35-44,m,0.0
AD,2008,45-54,f,1.0
AD,2008,45-54,m,1.0
AD,2008,5-14,f,0.0
AD,2008,5-14,m,0.0
AD,2008,55-64,f,0.0
AD,2008,55-64,m,0.0
AD,2008,65,f,0.0
AD,2008,65,m,0.0
AE,2008,0-14,f,0.0
AE,2008,0-14,m,0.0
AE,2008,0-4,f,0.0
AE,2008,0-4,m,0.0
AE,2008,15-24,f,10.0
AE,2008,15-24,m,6.0
AE,2008,25-34,f,4.0
AE,2008,25-34,m,1.0
AE,2008,35-44,f,1.0
AE,2008,35-44,m,7.0
AE,2008,45-54,f,1.0
AE,2008,45-54,m,5.0
AE,2008,5-14,f,0.0
AE,2008,5-14,m,0.0
AE,2008,55-64,f,3.0
AE,2008,55-64,m,3.0
AE,2008,65,f,3.0
AE,2008,65,m,6.0
AL,2005,0-14,f,0.0
AL,2005,0-14,m,0.0
AL,2005,0-4,f,0.0
AL,2005,0-4,m,0.0
AL,2005,15-24,f,3.0
AL,2005,15-24,m,26.0
AL,2005,25-34,f,9.0
AL,2005,25-34,m,21.0
AL,2005,35-44,f,5.0
AL,2005,35-44,m,16.0
AL,2005,45-54,f,5.0
AL,2005,45-54,m,31.0
AL,2005,5-14,f,0.0
AL,2005,5-14,m,0.0
AL,2005,55-64,f,5.0
AL,2005,55-64,m,20.0
AL,2005,65,f,18.0
AL,2005,65,m,37.0
AL,2006,0-14,f,2.0
AL,2006,0-14,m,5.0
AL,2006,0-4,f,0.0
AL,2006,0-4,m,1.0
AL,2006,15-24,f,12.0
AL,2006,15-24,m,24.0
AL,2006,25-34,f,8.0
AL,2006,25-34,m,19.0
AL,2006,35-44,f,7.0
AL,2006,35-44,m,22.0
AL,2006,45-54,f,7.0
AL,2006,45-54,m,21.0
AL,2006,5-14,f,2.0
AL,2006,5-14,m,4.0
AL,2006,55-64,f,7.0
AL,2006,55-64,m,19.0
AL,2006,65,f,13.0
AL,2006,65,m,20.0
AL,2007,0-14,f,2.0
AL,2007,0-14,m,0.0
AL,2007,0-4,f,0.0
AL,2007,0-4,m,0.0
AL,2007,15-24,f,13.0
AL,2007,15-24,m,19.0
AL,2007,25-34,f,9.0
AL,2007,25-34,m,13.0
AL,2007,35-44,f,7.0
AL,2007,35-44,m,16.0
AL,2007,45-54,f,7.0
AL,2007,45-54,m,24.0
AL,2007,5-14,f,2.0
AL,2007,5-14,m,0.0
AL,2007,55-64,f,11.0
AL,2007,55-64,m,16.0
AL,2007,65,f,9.0
AL,2007,65,m,19.0
AM,2005,0-14,f,3.0
AM,2005,0-14,m,3.0
AM,2005,0-4,f,0.0
AM,2005,0-4,m,1.0
AM,2005,15-24,f,27.0
AM,2005,15-24,m,170.0
AM,2005,25-34,f,21.0
AM,2005,25-34,m,104.0
AM,2005,35-44,f,10.0
AM,2005,35-44,m,83.0
AM,2005,45-54,f,11.0
AM,2005,45-54,m,84.0
AM,2005,5-14,f,3.0
AM,2005,5-14,m,2.0
AM,2005,55-64,f,4.0
AM,2005,55-64,m,30.0
AM,2005,65,f,7.0
AM,2005,65,m,24.0
AM,2006,0-14,f,3.0
AM,2006,0-14,m,0.0
AM,2006,0-4,f,0.0
AM,2006,0-4,m,0.0
AM,2006,15-24,f,28.0
AM,2006,15-24,m,113.0
AM,2006,25-34,f,29.0
AM,2006,25-34,m,116.0
AM,2006,35-44,f,16.0
AM,2006,35-44,m,96.0
AM,2006,45-54,f,15.0
AM,2006,45-54,m,98.0
AM,2006,5-14,f,3.0
AM,2006,5-14,m,0.0
AM,2006,55-64,f,7.0
AM,2006,55-64,m,38.0
AM,2006,65,f,4.0
AM,2006,65,m,17.0
AM,2007,0-14,f,2.0
AM,2007,0-14,m,1.0
AM,2007,0-4,f,0.0
AM,2007,0-4,m,0.0
AM,2007,15-24,f,31.0
AM,2007,15-24,m,81.0
AM,2007,25-34,f,22.0
AM,2007,25-34,m,87.0
AM,2007,35-44,f,11.0
AM,2007,35-44,m,100.0
AM,2007,45-54,f,7.0
AM,2007,45-54,m,92.0
AM,2007,5-14,f,2.0
AM,2007,5-14,m,1.0
AM,2007,55-64,f,7.0
AM,2007,55-64,m,29.0
AM,2007,65,f,7.0
AM,2007,65,m,20.0
AM,2008,0-14,f,4.0
AM,2008,0-14,m,0.0
AM,2008,0-4,f,0.0
AM,2008,0-4,m,0.0
AM,2008,15-24,f,44.0
AM,2008,15-24,m,53.0
AM,2008,25-34,f,25.0
AM,2008,25-34,m,103.0
AM,2008,35-44,f,10.0
AM,2008,35-44,m,74.0
AM,2008,45-54,f,14.0
AM,2008,45-54,m,87.0
AM,2008,5-14,f,4.0
AM,2008,5-14,m,0.0
AM,2008,55-64,f,10.0
AM,2008,55-64,m,37.0
AM,2008,65,f,11.0
AM,2008,65,m,15.0
AR,2008,0-14,f,66.0
AR,2008,0-14,m,69.0
AR,2008,0-4,f,5.0
AR,2008,0-4,m,11.0
AR,2008,15-24,f,536.0
AR,2008,15-24,m,633.0
AR,2008,25-34,f,506.0
AR,2008,25-34,m,611.0
AR,2008,35-44,f,252.0
AR,2008,35-44,m,390.0
AR,2008,45-54,f,221.0
AR,2008,45-54,m,416.0
AR,2008,5-14,f,61.0
AR,2008,5-14,m,58.0
AR,2008,55-64,f,157.0
AR,2008,55-64,m,364.0
AR,2008,65,f,204.0
AR,2008,65,m,295.0
AT,2005,0-14,f,0.0
AT,2005,0-14,m,1.0
AT,2005,0-4,f,0.0
AT,2005,0-4,m,1.0
AT,2005,15-24,f,13.0
AT,2005,15-24,m,32.0
AT,2005,25-34,f,11.0
AT,2005,25-34,m,23.0
AT,2005,35-44,f,8.0
AT,2005,35-44,m,22.0
AT,2005,45-54,f,3.0
AT,2005,45-54,m,41.0
AT,2005,5-14,f,0.0
AT,2005,5-14,m,0.0
AT,2005,55-64,f,5.0
AT,2005,55-64,m,24.0
AT,2005,65,f,10.0
AT,2005,65,m,30.0
AT,2006,0-14,f,2.0
AT,2006,0-14,m,1.0
AT,2006,0-4,f,1.0
AT,2006,0-4,m,0.0
AT,2006,15-24,f,12.0
AT,2006,15-24,m,9.0
AT,2006,25-34,f,12.0
AT,2006,25-34,m,25.0
AT,2006,35-44,f,16.0
AT,2006,35-44,m,36.0
AT,2006,45-54,f,5.0
AT,2006,45-54,m,39.0
AT,2006,5-14,f,1.0
AT,2006,5-14,m,1.0
AT,2006,55-64,f,3.0
AT,2006,55-64,m,19.0
AT,2006,65,f,15.0
AT,2006,65,m,19.0
AZ,2005,0-14,f,90.0
AZ,2005,0-14,m,77.0
AZ,2005,0-4,f,2.0
AZ,2005,0-4,m,2.0
AZ,2005,15-24,f,64.0
AZ,2005,15-24,m,109.0
AZ,2005,25-34,f,98.0
AZ,2005,25-34,m,297.0
